Date,Day,#1,#2,#3,#4,#5,PB
"Sat, Jun 16, 2018",Sat,65,9,58,57,45,9
"Wed, Jun 13, 2018",Wed,13,38,45,20,55,1
"Sat, Jun 09, 2018",Sat,36,10,25,6,15,14
"Wed, Jun 06, 2018",Wed,53,28,41,23,56,14
"Sat, Jun 02, 2018",Sat,23,37,64,44,25,7
"Wed, May 30, 2018",Wed,46,23,26,17,68,20
"Sat, May 26, 2018",Sat,45,31,21,1,49,21
"Wed, May 23, 2018",Wed,20,54,61,56,64,7
"Sat, May 19, 2018",Sat,56,9,17,3,6,25
"Sat, May 19, 2018",Sat,56,9,17,3,6,25
"Wed, May 16, 2018",Wed,17,22,21,19,51,19
"Sat, May 12, 2018",Sat,42,56,22,55,45,14
"Wed, May 09, 2018",Wed,50,69,16,38,11,19
"Sat, May 05, 2018",Sat,29,36,14,61,57,17
"Wed, May 02, 2018",Wed,40,5,31,50,14,6
"Sat, Apr 28, 2018",Sat,28,50,22,45,20,8
"Wed, Apr 25, 2018",Wed,18,17,39,64,56,12
"Sat, Apr 21, 2018",Sat,50,69,54,62,40,19
"Wed, Apr 18, 2018",Wed,12,17,10,9,23,9
"Sat, Apr 14, 2018",Sat,61,17,19,26,62,15
"Wed, Apr 11, 2018",Wed,67,18,16,55,27,18
"Sat, Apr 07, 2018",Sat,38,2,20,17,39,20
"Wed, Apr 04, 2018",Wed,42,64,54,8,24,24
"Sat, Mar 31, 2018",Sat,24,55,52,61,8,21
"Wed, Mar 28, 2018",Wed,53,8,52,6,26,21
"Sat, Mar 24, 2018",Sat,33,56,53,10,45,24
"Wed, Mar 21, 2018",Wed,29,4,61,3,18,25
"Sat, Mar 17, 2018",Sat,60,66,22,59,57,7
"Wed, Mar 14, 2018",Wed,12,24,6,41,68,9
"Sat, Mar 10, 2018",Sat,69,43,54,44,61,22
"Wed, Mar 07, 2018",Wed,36,6,19,13,51,18
"Sat, Mar 03, 2018",Sat,40,17,36,25,13,5
"Wed, Feb 28, 2018",Wed,69,12,65,59,30,16
"Sat, Feb 24, 2018",Sat,38,25,62,63,24,6
"Wed, Feb 21, 2018",Wed,7,36,31,15,34,8
"Wed, Feb 21, 2018",Wed,7,36,31,15,34,8
"Sat, Feb 17, 2018",Sat,26,62,39,13,44,2
"Wed, Feb 14, 2018",Wed,44,46,37,39,69,26
"Sat, Feb 10, 2018",Sat,27,13,41,59,1,20
"Wed, Feb 07, 2018",Wed,40,35,34,47,23,10
"Sat, Feb 03, 2018",Sat,15,48,23,27,53,6
"Wed, Jan 31, 2018",Wed,7,4,14,59,46,22
"Sat, Jan 27, 2018",Sat,54,26,17,21,47,7
"Wed, Jan 24, 2018",Wed,11,9,5,33,64,21
"Sat, Jan 20, 2018",Sat,28,26,58,47,49,3
"Wed, Jan 17, 2018",Wed,33,51,3,37,57,21
"Sat, Jan 13, 2018",Sat,69,25,35,14,58,24
"Wed, Jan 10, 2018",Wed,7,24,50,49,33,4
"Sat, Jan 06, 2018",Sat,12,61,30,29,33,26
"Wed, Jan 03, 2018",Wed,42,39,18,2,37,12
"Sat, Dec 30, 2017",Sat,58,28,51,41,36,24
"Wed, Dec 27, 2017",Wed,16,60,3,56,9,3
"Sat, Dec 23, 2017",Sat,44,15,1,13,3,25
"Wed, Dec 20, 2017",Wed,20,61,64,1,69,20
"Sat, Dec 16, 2017",Sat,35,63,37,9,50,11
"Wed, Dec 13, 2017",Wed,2,28,51,58,24,7
